"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strName""]",wooden plank bash,木板 攻击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""vAttackPhrases""]","swings at,thrusts at","swings at,thrusts at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strName""]",spoon bash,勺子 攻击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strName""]",fork stab,叉子 刺
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strName""]",butter knife stab,黄油刀 刺
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strName""]",steak knife stab,牛排刀 刺
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strName""]",shard stab,玻璃瓶碎片刺击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""strName""]",bone swing,骨头挥击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=8]/../column[@name=""strName""]",prybar swing,撬棍挥击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=8]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=8]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=8]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=9]/../column[@name=""strName""]",shard stab,玻璃瓶碎片刺击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=9]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=9]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=9]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=34]/../column[@name=""strName""]",fire axe hack,消防斧劈砍
"//table[@name=""attackmodes""]/column[@name=""id""][text()=34]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=34]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=34]/../column[@name=""vAttackPhrases""]","swings at,thrusts at","swings at,thrusts at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=35]/../column[@name=""strName""]",pin punch stab,钉针刺戳
"//table[@name=""attackmodes""]/column[@name=""id""][text()=35]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=35]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=35]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
