"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strName""]",baseball bat swing,棒球棒挥击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=1]/../column[@name=""vAttackPhrases""]","swings at,thrusts at","swings at,thrusts at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strName""]",spiked bat swing,狼牙棒挥击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=2]/../column[@name=""vAttackPhrases""]","swings at,thrusts at","swings at,thrusts at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strName""]",brass knuckles punch,指虎拳击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""strWieldPhrase""]","raises their fists,ready to fight","raises their fists,ready to fight"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=3]/../column[@name=""vAttackPhrases""]","swings at,jabs at,roundhouses,gut-punches","swings at,jabs at,roundhouses,gut-punches"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strName""]",tactical baton swing,战术甩棍
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=4]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strName""]",shield push,盾牌推击
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strNotes""]",riot,暴动
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=5]/../column[@name=""vAttackPhrases""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strName""]",tactical knife stab,战术小刀戳刺
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strNotes""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""strWieldPhrase""]",,
"//table[@name=""attackmodes""]/column[@name=""id""][text()=6]/../column[@name=""vAttackPhrases""]","swings at,thrusts at,stabs at","swings at,thrusts at,stabs at"
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""strName""]",throwing knife stab,投掷匕首戳刺
"//table[@name=""attackmodes""]/column[@name=""id""][text()=7]/../column[@name=""strNotes""]",,
